x skill lower upper
0.0 3.5847365882674205 3.1844156252111615 3.9758237130336735
0.005 3.587027038301807 3.1903304045779803 3.9767934758393007
0.01 3.583425889459286 3.189911338470146 3.9716726289149644
0.015 3.5740599419898578 3.1830557275375693 3.961256854802602
0.02 3.559226882696116 3.1713142313806237 3.9430497019770887
0.03 3.514986554006954 3.1344293511710286 3.8904820254422603
0.04 3.4549674769349727 3.083057405513741 3.827406731169226
0.05 3.3836619627895117 3.0135181674798335 3.7504173855890826
0.07 3.2224781710576336 2.876484517424605 3.582210893659285
0.09 3.054326869254643 2.7240523035554904 3.3999399275406685
0.12 2.814253301705322 2.50937509784667 3.1437614594486973
0.16 2.537412563595396 2.2656385706254976 2.8380166470773958
0.2 2.311872912528248 2.0682731090294197 2.5882393498401934
0.25 2.089798478756378 1.8762603067607255 2.3418588469459785
0.3 1.9181728651392296 1.7299328682522126 2.147442696854534
0.4 1.6757367075170178 1.5235391924659991 1.8699886799698788
0.5 1.5163110342627533 1.3898175621109181 1.6819884401045246
0.6 1.405432319550262 1.2977968003651434 1.5487178110894002
0.8 1.2641694652253497 1.182038720805456 1.3755131572832275
1.0 1.1801284161689478 1.1140711162182164 1.2702868173233162
