x skill lower upper
0.0 1.6067362245256167 1.277677659136347 2.0102198504060946
0.005 1.6099781524178878 1.2806090450413026 2.0137304433882957
0.01 1.6127830779980727 1.2836839627674534 2.0167159850092777
0.015 1.6151193734614195 1.2864783000248972 2.0191464332165623
0.02 1.6169671538582568 1.2889650962876726 2.02108146322997
0.03 1.6191872653917285 1.293028282293662 2.024331746763146
0.04 1.6195255124808046 1.2958420011710525 2.024144206799393
0.05 1.618177026192328 1.2975064494989539 2.0206052317768712
0.07 1.6113422350823714 1.2963029744806625 2.0040233791152544
0.09 1.6004556015158256 1.2936349860151606 1.9794089404315305
0.12 1.5793639240601807 1.2862493207910277 1.9365553704726977
0.16 1.5466544425949338 1.2752971612477324 1.868137255335774
0.2 1.5124079455193926 1.259826258052103 1.8061719173188955
0.25 1.470693786923628 1.2407126819843568 1.7329503883025812
0.3 1.4318851359064668 1.2235917790251285 1.6651587124546778
0.4 1.3646924131999005 1.1900068809662052 1.553654265794465
0.5 1.3106176662745128 1.1630643635186224 1.4692559219365244
0.6 1.2673104658042094 1.140590577783521 1.4019947227866025
0.8 1.204151130939689 1.1081701162163045 1.306829918105011
1.0 1.1615652484674652 1.0871270245752154 1.2423402519730196
