x skill lower upper
0.0 2.0030699014306435 1.9101006100930051 2.1028499303600645
0.25 1.9964288044079284 1.9042206653542622 2.092510565249328
0.5 1.9719630054981672 1.8815072388250655 2.0661004565939995
1.0 1.8905644941062778 1.801179249183305 1.9805779305008313
1.5 1.8038600658667332 1.7087717004907788 1.9010095251714805
2.0 1.7135191976191877 1.6096536815061617 1.8231738600279248
3.0 1.5188859408538449 1.370362348969171 1.694800154860951
4.0 1.3665579581583231 1.229782512872245 1.5795449978001503
6.0 1.4213858732674745 1.313437735531672 1.5636411339435639
