x skill lower upper
0.0 2.036663254116132 1.9453067925119645 2.132234894574256
0.02 2.0385088622534124 1.9470290548503153 2.1337690009100125
0.05 2.039513418949563 1.9467681541344253 2.135600494940312
0.08 2.0384144610672945 1.9459605508566087 2.1356980944139856
0.12 2.033777095583394 1.9399133682866343 2.131829200386446
0.18 2.0205445055979037 1.9272101177479817 2.1189749921301484
0.25 1.9970610330656868 1.9043932253459677 2.0949395408861973
0.35 1.9529084334679607 1.859183910596182 2.047891330056072
0.5 1.876036818742028 1.7865712696901965 1.967815911435772
0.7 1.7759576279385663 1.691686698120925 1.8619908606535045
1.0 1.6553729657692178 1.5804057442646045 1.7322603894575779
1.3 1.5686273226419203 1.5032508943180927 1.633627151778621
1.6 1.5043515146696191 1.4479317441494635 1.5616291219627476
2.0 1.4390862856649134 1.3906535122170172 1.4875273419441308
