x skill lower upper
0.0 9.728982544140838 7.741878864472102 11.509836091878668
0.005 9.733800038302663 7.735994883799155 11.526514554195177
0.01 9.732464021949133 7.755938036971287 11.535697242656573
0.015 9.722968372007571 7.738972905337897 11.537187048899296
0.02 9.703690446509357 7.710240026040086 11.512778703501732
0.03 9.634310626805632 7.667618338532478 11.427946003631666
0.04 9.528070480416552 7.578697961262266 11.30436087330182
0.05 9.393360295793597 7.472220872666873 11.167471818301168
0.07 9.071848889908154 7.237073656157125 10.7647561397314
0.09 8.722500516721187 6.990479303582528 10.318700435284123
0.12 8.209562911419448 6.618588101747822 9.653464296451954
0.16 7.605332909667408 6.188080184380207 8.885603455453113
0.2 7.106863930890065 5.848058456446814 8.223959421557293
0.25 6.613091615763892 5.527771677559191 7.563716316406013
0.3 6.230957869861984 5.283073688562486 7.075125946741023
0.4 5.693427561592985 4.945237087807802 6.361310716568078
0.5 5.344300910585076 4.724685923429897 5.908440691246479
0.6 5.105696936039644 4.577011524876716 5.578729323045323
0.8 4.811018076610083 4.395809555972369 5.177908146467034
1.0 4.644845864632639 4.29472272465504 4.949546836644171
