x skill lower upper
0.0 2.036663254116132 1.9453067925119645 2.132234894574256
0.02 2.035418212830664 1.9440130390200923 2.130061325429099
0.05 2.0317428715622747 1.940702595357776 2.1262750966847834
0.08 2.0259647364741795 1.9344968348061358 2.119831390046931
0.12 2.015178071861752 1.924289601212232 2.1081834255771303
0.18 1.9930930454757412 1.903115121757848 2.0849323821290224
0.25 1.9600393577465096 1.871942410198298 2.049514403109609
0.35 1.9037092026934803 1.8196769249748115 1.9912318335461767
0.5 1.8113080573715499 1.7347852650405522 1.889786348475445
0.7 1.693975642030585 1.628867490993046 1.7629763117062107
1.0 1.5528357505586234 1.5021273200089256 1.6062672230803134
1.3 1.4527777656634244 1.4109681206630045 1.495623303048902
1.6 1.3836300683579708 1.3477168194154747 1.4198102765048897
2.0 1.3229692859850706 1.2932962063999103 1.3531873316498884
