x skill lower upper
0.0 2.0030699014306435 1.9101006100930051 2.1028499303600645
0.1 1.990474086421911 1.8983809454936587 2.0909340376077057
0.25 1.9594458948732283 1.8671625817985509 2.0583055030598856
0.5 1.8879939271737172 1.7940342353487928 1.986310001620676
0.75 1.8047022684781262 1.713507941623331 1.9003861630728043
1.0 1.7167543565559669 1.6331036596114743 1.8070056183330758
1.5 1.5784844518891807 1.5030326875669868 1.6575305947759749
2.0 1.4479493752765753 1.3724194506500502 1.5307826064762897
