x skill lower upper
0.0 1.9580027087371825 1.8687082718513797 2.053249136275355
0.25 1.9511613654510567 1.8609332752405894 2.0433197751410384
0.5 1.928158104147958 1.8405352465850133 2.0185362220465266
1.0 1.8526801102029635 1.7688376873867002 1.9392477374478132
1.5 1.7742678669992618 1.6843256194791212 1.8684816791791006
2.0 1.6881638768410494 1.5901705694150923 1.792167191833892
3.0 1.4985233997878873 1.3606029230773113 1.6672880034851865
4.0 1.3529634628992027 1.2222910684212402 1.5540824564415403
6.0 1.406330994521209 1.2988866812489592 1.54801566059949
