x skill lower upper
0.0 1.5677831463769663 1.2759373535314589 1.8966904052918325
0.005 1.5689434448910209 1.2768645552001863 1.8977110759288556
0.01 1.569680259451373 1.277667887257391 1.8981786566657486
0.015 1.569955938695403 1.2782982765101971 1.8980031733141949
0.02 1.5697425865970243 1.278710149222339 1.8972090124761234
0.03 1.5678057512369967 1.2786308053194784 1.8935106443630525
0.04 1.5638766745319768 1.2768044802021437 1.8863506446467495
0.05 1.558043624477498 1.272475575261842 1.8771614061616815
0.07 1.5411616130750103 1.2645523753131536 1.8535430058417754
0.09 1.518328862696496 1.2499492672774497 1.821589166924512
0.12 1.4760459620180724 1.2211578466222923 1.7629329258271402
0.16 1.4119898551762837 1.1756471471655088 1.6779986100110797
0.2 1.3466397449009706 1.1341883064489826 1.5903465116165463
0.25 1.2699681727406442 1.0848302071829963 1.488320126362333
0.3 1.2020614045237605 1.0341622583879009 1.3988962642996317
0.4 1.0930883969861152 0.9548332578634785 1.2568301382754197
0.5 1.0130230644226006 0.8970131730649691 1.1530063109618487
0.6 0.9533779917873137 0.852802081931903 1.0765499645139984
0.8 0.8726716188458143 0.7918297440227026 0.9679265765566447
1.0 0.8221013452671303 0.7532005888595135 0.9005276815789917
