x skill lower upper
0.0 1.9580027087371825 1.8687082718513797 2.053249136275355
0.1 1.9428260193085176 1.8539477604153054 2.036303975026238
0.25 1.905633453886057 1.8160172940450878 1.9960190424135458
0.5 1.8205562712959622 1.7332896151022927 1.9119082053293472
0.75 1.7233271066594131 1.6431682648149557 1.810140443757117
1.0 1.6236581222864068 1.5485082846691272 1.7039410733668188
1.5 1.4754855514077485 1.408835886848712 1.5469922881475264
2.0 1.3447068455576716 1.2798213316234774 1.4160399671635486
