x skill lower upper
0.0 1.9580027087371825 1.8687082718513797 2.053249136275355
0.02 1.9584373316250476 1.8686284601383392 2.0537748629921473
0.05 1.9575398091903224 1.867310889565074 2.0531216816452194
0.08 1.9549036703735112 1.8635999566005208 2.0505769932292504
0.12 1.9484987368203655 1.8578407094695495 2.0439013275240203
0.18 1.9334049699677613 1.842674118740052 2.0279937448221887
0.25 1.90857815205384 1.818150731328905 2.0016045280886816
0.35 1.8623526948068647 1.774382500882824 1.951446741420247
0.5 1.780147826119624 1.696730849104162 1.8647586125387394
0.7 1.6690146401897277 1.5942270724557464 1.7441044158756418
1.0 1.5278524241949785 1.461574891766144 1.5918767928081603
1.3 1.4277254411616043 1.3706983946264593 1.4836345583077346
1.6 1.3595506060527471 1.3088859518646454 1.4089347938386911
2.0 1.3000796004842767 1.2541323225255903 1.3458091439103133
