x skill lower upper
0.0 1.6067362245256167 1.277677659136347 2.0102198504060946
0.005 1.6065741690097917 1.2774830959944135 2.0099036816468487
0.01 1.6061254902546271 1.27760632994835 2.009174265757724
0.015 1.6053668611885494 1.2776375857337936 2.008037545028746
0.02 1.6042842552584633 1.2775591623225886 2.00543266873936
0.03 1.6011582745560584 1.2769672234543576 1.9972599556175998
0.04 1.596853538165429 1.27577580019542 1.9864898068593169
0.05 1.5915448623714834 1.2741219237092527 1.9738455188965083
0.07 1.5785383603086007 1.270832056233795 1.947001534646499
0.09 1.5632444007534962 1.2662007717269415 1.9190140988590365
0.12 1.5377945781030846 1.2535685519169482 1.871836115214332
0.16 1.5020693853889533 1.2404546583654126 1.8020317402798531
0.2 1.4667478189799257 1.2265645216138346 1.7477853223266353
0.25 1.4251480623140707 1.2067985335422309 1.6849954505466118
0.3 1.3872484678846777 1.1862713703223347 1.6245431580626326
0.4 1.3228757198683678 1.1539252559165711 1.5143523749875787
0.5 1.2719455263091561 1.1294663868110744 1.4297873745901764
0.6 1.2315100928250935 1.1084849082706512 1.3642872517109728
0.8 1.1728339756425492 1.0795274559394394 1.271880146185196
1.0 1.1334323547895364 1.0611275891817966 1.2127951062038884
