x skill lower upper
0.0 1.9580027087371825 1.8687082718513797 2.053249136275355
0.02 1.9572327453782907 1.8682674910488704 2.0530267996210845
0.05 1.954485665960358 1.8655439159973413 2.049296415072984
0.08 1.9496671847318947 1.8607938210221069 2.0429713508979006
0.12 1.9405014896272843 1.8521802562431717 2.031873866686248
0.18 1.9215556083573828 1.834236739733242 2.010869270422973
0.25 1.8919597266652368 1.8062305776451713 1.9799057375594211
0.35 1.839109673756486 1.7567754638292934 1.9251275416970874
0.5 1.74847854999342 1.6729011081404495 1.8270780816313374
0.7 1.628082254695743 1.5625352632614884 1.6969460101776248
1.0 1.4799342516803575 1.425688601094507 1.536465715058307
1.3 1.373857752462166 1.3290659325127745 1.4216891869389934
1.6 1.300035018054684 1.2626660384182415 1.3395497257584796
2.0 1.2350030078227097 1.204615508948348 1.2672190434841462
