x skill lower upper
0.0 1.4864098439884716 1.2149803339345884 1.7915676909761782
0.005 1.4872905954372768 1.2152936753414163 1.792109491235036
0.01 1.4878847258220433 1.2156484544154764 1.7926631393798034
0.015 1.488151613500753 1.216839050920238 1.7927777725981335
0.02 1.4880490736053766 1.218954767820134 1.7932436997769654
0.03 1.486615599702568 1.2199607083633723 1.790180350230987
0.04 1.4834438369318932 1.2189008311423122 1.7845580125426805
0.05 1.4785101028985561 1.2172751804827122 1.7749915773548064
0.07 1.4636093265398002 1.2111501954116466 1.7553901030103458
0.09 1.4428330691117182 1.1960660843265791 1.7276486601869985
0.12 1.403617560965488 1.1704869768203925 1.6733108061977293
0.16 1.3434482445170708 1.1291281626901641 1.59274560504741
0.2 1.2816303620931824 1.0862508863023017 1.5092225591208865
0.25 1.2088070705433744 1.0372776685414817 1.4152797964862693
0.3 1.1441363254139847 0.9900929659931046 1.329841628540809
0.4 1.0401043724071706 0.9133344956782014 1.1946518583321086
0.5 0.963489467136314 0.8565490845142048 1.0979102639802305
0.6 0.9063115918247309 0.8146652054618371 1.0231328201364644
0.8 0.8287893745845271 0.7547104092651381 0.9202709732885336
1.0 0.7801154974251199 0.7165848498306526 0.8552234912433403
