x skill lower upper
0.0 2.0030699014306435 1.9101006100930051 2.1028499303600645
0.02 2.00234271500705 1.9081969422438185 2.101788146794117
0.05 1.9942364757939732 1.9003305617683959 2.0935462335592137
0.08 1.9780901152179573 1.8830559909134705 2.076982410790915
0.12 1.9453533672057424 1.8519128216343126 2.0436435272489004
0.18 1.8772269656409835 1.7848499000154308 1.972024539167732
0.25 1.7798298708995037 1.6903625439671104 1.870306551123327
0.35 1.630821252121619 1.5478876781316322 1.7132264414325122
0.5 1.4269091008519206 1.3539838448337438 1.4998654914365341
0.7 1.221344276265869 1.1596822407939422 1.2862797492817204
1.0 1.0287476399913789 0.977251377260834 1.0819626952682049
1.3 0.9182680901327807 0.8741694517710181 0.9651379702237955
1.6 0.851161787660148 0.8106535436628599 0.8924744224327151
2.0 0.797075289749931 0.7605584943877459 0.8353391621549269
