x skill lower upper
0.0 1.5677831463769663 1.2759373535314589 1.8966904052918325
0.005 1.5661554579985768 1.2741080106878686 1.8928055322718018
0.01 1.563627011029804 1.2723245584317002 1.8886918935089396
0.015 1.5601896632351326 1.2699843072475214 1.8840702673621377
0.02 1.5558543470044945 1.26710495806703 1.878243511683969
0.03 1.5446132335201206 1.2594721830307487 1.863071188086938
0.04 1.5302695950154288 1.249637108221699 1.8437101750547549
0.05 1.5133023610217753 1.238939992607035 1.819930149930016
0.07 1.4734852979168689 1.2113013709013956 1.7667924003227267
0.09 1.4287636526501022 1.1803752200763538 1.7099220546756126
0.12 1.3584688765581925 1.1303518558332009 1.6169577323387168
0.16 1.2676350284739357 1.065413626015172 1.4988044454451201
0.2 1.1857473202673332 1.0096681117873492 1.3933367865812765
0.25 1.0981306391499963 0.945724359622968 1.280014136116683
0.3 1.0256890409895862 0.8949504309381872 1.1852523328559081
0.4 0.9164305187584135 0.8139186197218764 1.0423954526004118
0.5 0.840285664811151 0.7568763139227861 0.9438257163049016
0.6 0.7854625427183819 0.7137039202909746 0.8726623226319806
0.8 0.7137042152439143 0.6597105962323104 0.7785324763292255
1.0 0.6701673534953677 0.6266953345128078 0.7209921931843772
