x skill lower upper
0.0 1.9580027087371825 1.8687082718513797 2.053249136275355
0.05 1.9566917490090285 1.8663023101496556 2.0529656980683266
0.1 1.9551722951019392 1.8641231387214063 2.0520890603158124
0.2 1.9517543059768891 1.8587843840943876 2.0496034730232036
0.35 1.9433222812441522 1.8474544213069184 2.042901463093787
0.5 1.9187001957874263 1.8203243239202875 2.016313967180932
0.75 1.8100564262575707 1.7103029316080094 1.9167879338520755
1.0 1.6159582746321237 1.5099205060763525 1.729287282340421
