x skill lower upper
0.0 2.0030699014306435 1.9101006100930051 2.1028499303600645
0.05 2.0008712203056334 1.9069409136801783 2.1018695546460457
0.1 1.9984121433453526 1.9049630797711417 2.099215382393552
0.2 1.9932091800866822 1.8998248464686662 2.093110921635562
0.35 1.9845399387913103 1.8904108739827838 2.0850229429784983
0.5 1.969896636978125 1.8739602820542884 2.0717559792082145
0.75 1.9133527779578727 1.8127806026279203 2.0187636714984087
1.0 1.7940145199410267 1.6876499503887739 1.9047424350837558
