x skill lower upper
0.0 3.7809824995548915 3.3257151536896026 4.2184731838038285
0.005 3.783956259560585 3.3304380134990494 4.219648829708107
0.01 3.7804224899099945 3.3298938630478476 4.214221005386319
0.015 3.770527532460647 3.3198479093757265 4.201469363277152
0.02 3.7546275268948075 3.304999096880472 4.183211514836842
0.03 3.7069543303564023 3.269440171768933 4.126543721709789
0.04 3.642297007765495 3.2168638842759743 4.056046028777285
0.05 3.5656793539495566 3.1513922370811596 3.977528948965416
0.07 3.3932276640703276 3.0080834905384455 3.791327520710517
0.09 3.214143576951572 2.848811318205169 3.5978819553960233
0.12 2.9594722505614945 2.629662005380854 3.318664378871375
0.16 2.6668692395228484 2.3688582982552835 2.9960727662858155
0.2 2.429140289783608 2.1630962224504584 2.7293652969991564
0.25 2.195534440636105 1.9657303233904397 2.4648210811491262
0.3 2.0152856938217836 1.8111523024143805 2.2559991362879144
0.4 1.7611005202788432 1.5974107692668267 1.9659269905665062
0.5 1.5942655347464598 1.4586119649752431 1.7662199691098355
0.6 1.478418961527457 1.3633403166603035 1.626743612128702
0.8 1.3311039542063279 1.2432436866845413 1.4458031282487456
1.0 1.2436429755884755 1.173953130496866 1.3368804354005355
