x skill lower upper
0.0 3.68346505745909 3.3765325981105554 3.9784224233132757
0.005 3.6855514575986685 3.3795428452177174 3.979902111446496
0.01 3.68013437424514 3.3782410541581402 3.9724517473809184
0.015 3.667476584513683 3.36787501241513 3.957259570894742
0.02 3.6480562465788395 3.353234267135678 3.9374006243518465
0.03 3.591488588900496 3.304435888694203 3.877663143459526
0.04 3.516031799252173 3.230174167008589 3.7992973766882514
0.05 3.4272587401393912 3.1461715399212893 3.710972617019123
0.07 3.228092074986322 2.9477548359285572 3.5145512496270532
0.09 3.021058757581735 2.7440235897507734 3.3078227443078747
0.12 2.725291183638373 2.4569570909776903 3.023278586630075
0.16 2.382828842162714 2.1152730170095353 2.6743685965506288
0.2 2.102126052012229 1.8446789394078558 2.383580713728207
0.25 1.8237027318373318 1.5828566236520114 2.091825181631558
0.3 1.6066824442808505 1.3844744574009855 1.8550938237814176
0.4 1.2962017492093614 1.1080543322882195 1.5063585142870628
0.5 1.0883625943887134 0.9268157465975682 1.2677246148183237
0.6 0.9412574641920209 0.8013938953015832 1.0976018328157138
0.8 0.7492267472426948 0.6398624058044938 0.8721798202385812
1.0 0.6310502306796925 0.5418045022637195 0.7308047986445556
