x skill lower upper
0.0 2.036663254116132 1.9453067925119645 2.132234894574256
0.25 2.0312158396218076 1.9420047148213384 2.12329017233454
0.5 2.0067759465056088 1.9223621080017792 2.093498859104269
1.0 1.9227686526262344 1.8389617429128498 2.006919193479826
1.5 1.83187424586182 1.7412487643339258 1.9265168198237854
2.0 1.7389402268708969 1.6352773051779583 1.8473230788257762
3.0 1.5338852275831958 1.3834914216628746 1.71192193053674
4.0 1.3749166834176865 1.2346902801259423 1.5931373879486646
6.0 1.4293148086877463 1.3205598516029393 1.5732158618339709
