system,reference,model,skill,ci_low,ci_high,admitted,reference_loss,model_loss,n_windows
tep,persistence,mlp_s42,1.8823382363429146,1.8265630002031685,1.9409739216002935,True,1.2713339073956755,0.6754014145011877,1440
tep,persistence,mlp_s7,1.8818597885676427,1.8254963577655625,1.9402362277978047,True,1.2713339073956755,0.675573129900043,1440
tep,persistence,ridge,1.9366157415499128,1.878017736568674,1.9979412908310112,True,1.2713339073956755,0.6564719474903169,1440
tep,history_mean,gru_s123,1.919186618370056,1.8429276556034393,1.9987567475970682,True,1.2559265658671097,0.6544056496880716,1440
tep,history_mean,gru_s2024,1.9235525949773173,1.847290414737076,2.001781849927661,True,1.2559265658671097,0.6529203148104821,1440
tep,history_mean,gru_s31337,1.917757226435547,1.8409337698274963,1.997035895589576,True,1.2559265658671097,0.6548934080678431,1440
tep,history_mean,gru_s42,1.9206195680196827,1.8436639687667578,2.000956622602724,True,1.2559265658671097,0.6539174060181391,1440
tep,history_mean,gru_s7,1.9225485024044562,1.8453124729158872,2.0016583155961736,True,1.2559265658671097,0.6532613165786827,1440
tep,history_mean,mlp_s123,1.8600604711737057,1.784463947274441,1.9387919137610157,True,1.2559265658671097,0.6752073845613282,1440
tep,history_mean,mlp_s2024,1.8587678686298432,1.7851136993004362,1.9347915518441843,True,1.2559265658671097,0.6756769293590668,1440
tep,history_mean,mlp_s31337,1.8668300381092904,1.7906045918577393,1.9437455089650635,True,1.2559265658671097,0.6727589230024933,1440
tep,history_mean,mlp_s42,1.859526111289927,1.7846812614558845,1.9354191770233582,True,1.2559265658671097,0.6754014145011877,1440
tep,history_mean,mlp_s7,1.859053461840519,1.7844625055604177,1.935727084535008,True,1.2559265658671097,0.675573129900043,1440
tep,history_mean,ridge,1.9131458254514904,1.836251083830385,1.9928964794642585,True,1.2559265658671097,0.6564719474903169,1440
tep,drift,gru_s123,3.4153337505276835,3.325040289768596,3.5092972191657283,True,2.235013701915667,0.6544056496880716,1440
tep,drift,gru_s2024,3.4231033270337226,3.3313380567935367,3.516920939882009,True,2.235013701915667,0.6529203148104821,1440
