reference,model,domain,severity,skill,method
history_mean,dlinear_s7,dynamics_idv13,0.0,1.7644275865302388,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,dynamics_idv13,1.0,1.6981679516684605,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,dynamics_idv13,3.0,1.4336730566830393,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,dynamics_idv13,6.0,1.3691027851292328,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,dynamics_idv13,0.0,3.115527143754544,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,dynamics_idv13,1.0,2.921345588951874,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,dynamics_idv13,3.0,2.199578355643817,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,dynamics_idv13,6.0,1.9870476089601539,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,dynamics_idv13,0.0,1.438136330373606,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,dynamics_idv13,1.0,1.3953560651784787,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,dynamics_idv13,3.0,1.2353784588199475,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,dynamics_idv13,6.0,1.199757976875775,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,dynamics_idv13,0.0,1.7018654346466064,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,dynamics_idv13,1.0,1.643914818763733,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,dynamics_idv13,3.0,1.4004147052764893,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,dynamics_idv13,6.0,1.337992548942566,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,dynamics_idv13,0.0,1.6696915389178677,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,dynamics_idv13,1.0,1.619951050469202,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,dynamics_idv13,3.0,1.3958955092687912,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,dynamics_idv13,6.0,1.3421212793687072,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,dynamics_idv13,0.0,2.9482475511650943,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,dynamics_idv13,1.0,2.786789640539683,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,dynamics_idv13,3.0,2.1416190634367522,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,dynamics_idv13,6.0,1.9478879950217918,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,dynamics_idv13,0.0,1.3609195871604274,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,dynamics_idv13,1.0,1.3310865520360242,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,dynamics_idv13,3.0,1.2028260103484765,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,dynamics_idv13,6.0,1.1761138231161614,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,dynamics_idv13,0.0,1.8080322742462156,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,dynamics_idv13,1.0,1.7310236692428587,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,dynamics_idv13,3.0,1.443170428276062,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,dynamics_idv13,6.0,1.367053151130676,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,dynamics_idv13,0.0,1.7738512863246465,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,dynamics_idv13,1.0,1.7057900928746625,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,dynamics_idv13,3.0,1.4385132577869781,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,dynamics_idv13,6.0,1.371271555742635,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,dynamics_idv13,0.0,3.1321669836256762,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,dynamics_idv13,1.0,2.934457901293671,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,dynamics_idv13,3.0,2.2070043176060365,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,dynamics_idv13,6.0,1.9901952546362502,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,dynamics_idv13,0.0,1.4458173285309313,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,dynamics_idv13,1.0,1.4016190505040886,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,dynamics_idv13,3.0,1.2395492006444444,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,dynamics_idv13,6.0,1.2016584914841044,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,dynamics_idv13,0.0,1.9912822246551514,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,dynamics_idv13,1.0,1.8779170513153074,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,dynamics_idv13,3.0,1.5099776983261108,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,dynamics_idv13,6.0,1.4153573513031006,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,dynamics_idv13,0.0,1.9536368824569597,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,dynamics_idv13,1.0,1.8505421724101396,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,dynamics_idv13,3.0,1.5051049380214119,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,dynamics_idv13,6.0,1.4197248113198295,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,dynamics_idv13,0.0,3.449622292691552,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,dynamics_idv13,1.0,3.1834738179037467,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,dynamics_idv13,3.0,2.309170999072798,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,dynamics_idv13,6.0,2.0605178970899445,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,dynamics_idv13,0.0,1.5923556163300974,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,dynamics_idv13,1.0,1.5205594014443933,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,dynamics_idv13,3.0,1.2969304333562992,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,dynamics_idv13,6.0,1.2441185467230196,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,dynamics_idv13,0.0,1.988773703575134,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,dynamics_idv13,1.0,1.8824695348739624,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,dynamics_idv13,3.0,1.5141736268997192,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s123,dynamics_idv13,6.0,1.4192821979522705,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,dynamics_idv13,0.0,1.9511757851591165,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,dynamics_idv13,1.0,1.855028293247369,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,dynamics_idv13,3.0,1.509287326160471,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s123,dynamics_idv13,6.0,1.423661769122975,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,dynamics_idv13,0.0,3.4452766252958558,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,dynamics_idv13,1.0,3.1911912579287276,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,dynamics_idv13,3.0,2.3155877273377907,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s123,dynamics_idv13,6.0,2.0662318016077696,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,dynamics_idv13,0.0,1.590349643705529,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,dynamics_idv13,1.0,1.5242455715391723,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,dynamics_idv13,3.0,1.3005343458308574,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s123,dynamics_idv13,6.0,1.2475685408215278,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,dynamics_idv13,0.0,1.9976102113723757,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,dynamics_idv13,1.0,1.8871108293533323,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,dynamics_idv13,3.0,1.5125517845153809,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s7,dynamics_idv13,6.0,1.4174437522888184,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,dynamics_idv13,0.0,1.9598452381030849,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,dynamics_idv13,1.0,1.8596019303857256,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,dynamics_idv13,3.0,1.5076707175283925,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s7,dynamics_idv13,6.0,1.4218176504484485,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,dynamics_idv13,0.0,3.460584658436253,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,dynamics_idv13,1.0,3.199059251590059,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,dynamics_idv13,3.0,2.313107484481798,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s7,dynamics_idv13,6.0,2.0635553395899744,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,dynamics_idv13,0.0,1.5974158760283321,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,dynamics_idv13,1.0,1.5280036523077212,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,dynamics_idv13,3.0,1.2991413340342675,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s7,dynamics_idv13,6.0,1.2459525218388041,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,dynamics_idv13,0.0,1.987910270690918,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,dynamics_idv13,1.0,1.8814541101455686,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,dynamics_idv13,3.0,1.509182333946228,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s2024,dynamics_idv13,6.0,1.4152250289916992,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,dynamics_idv13,0.0,1.950328675539372,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,dynamics_idv13,1.0,1.8540276706258938,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,dynamics_idv13,3.0,1.504312140315184,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s2024,dynamics_idv13,6.0,1.419592080692886,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,dynamics_idv13,0.0,3.4437808467021656,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,dynamics_idv13,1.0,3.1894698943388775,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,dynamics_idv13,3.0,2.3079546682874117,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s2024,dynamics_idv13,6.0,2.0603252584672136,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,dynamics_idv13,0.0,1.589659187985349,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,dynamics_idv13,1.0,1.523423376748334,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,dynamics_idv13,3.0,1.2962472893131647,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s2024,dynamics_idv13,6.0,1.2440022335943188,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,dynamics_idv13,0.0,1.9999471902847292,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,dynamics_idv13,1.0,1.8935647010803223,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,dynamics_idv13,3.0,1.5138014554977417,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s31337,dynamics_idv13,6.0,1.4201830625534058,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,dynamics_idv13,0.0,1.9621380362510163,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,dynamics_idv13,1.0,1.8659617223678875,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,dynamics_idv13,3.0,1.5089163557709562,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s31337,dynamics_idv13,6.0,1.424565413580464,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,dynamics_idv13,0.0,3.464633152644552,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,dynamics_idv13,1.0,3.2099999540308786,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,dynamics_idv13,3.0,2.315018574952902,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s31337,dynamics_idv13,6.0,2.0675433061771176,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,dynamics_idv13,0.0,1.599284672651059,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,dynamics_idv13,1.0,1.5332293864919424,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,dynamics_idv13,3.0,1.300214685203959,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s31337,dynamics_idv13,6.0,1.248360413176115,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,obs_bias,0.0,1.7819072008132935,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,obs_bias,0.25,1.7170077562332153,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,obs_bias,0.5,1.5779790878295896,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,obs_bias,1.0,1.3401259183883667,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear,obs_bias,2.0,1.1442017555236816,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,obs_bias,0.0,1.7482201093957745,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,obs_bias,0.25,1.689956722083632,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,obs_bias,0.5,1.560003294638373,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,obs_bias,1.0,1.3348570523788585,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear,obs_bias,2.0,1.1458219096443523,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,obs_bias,0.0,3.0869088908266913,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,obs_bias,0.25,2.934295482061948,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,obs_bias,0.5,2.606004241513576,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,obs_bias,1.0,2.005149385250258,exact rescaling of published aggregate; no per-episode CI
drift,dlinear,obs_bias,2.0,1.4394094780399485,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,obs_bias,0.0,1.4249260621434383,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,obs_bias,0.25,1.365003756286806,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,obs_bias,0.5,1.232562671220918,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,obs_bias,1.0,0.9956857487446692,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear,obs_bias,2.0,0.7858553487938442,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,obs_bias,0.0,1.9930928945541382,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,obs_bias,0.25,1.872053861618042,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,obs_bias,0.5,1.6374568939208984,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,obs_bias,1.0,1.3252209424972534,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf,obs_bias,2.0,1.1339778900146484,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,obs_bias,0.0,1.955413321503528,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,obs_bias,0.25,1.8425601142795995,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,obs_bias,0.5,1.6188035500891118,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,obs_bias,1.0,1.3200106771906852,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf,obs_bias,2.0,1.135583567459546,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,obs_bias,0.0,3.45275902899689,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,obs_bias,0.25,3.1992628853193876,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,obs_bias,0.5,2.704230774517295,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,obs_bias,1.0,1.9828479710061568,exact rescaling of published aggregate; no per-episode CI
drift,patchtf,obs_bias,2.0,1.4265478224404315,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,obs_bias,0.0,1.5938035428707316,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,obs_bias,0.25,1.488263837949001,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,obs_bias,0.5,1.2790209063899889,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,obs_bias,1.0,0.9846116609470004,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf,obs_bias,2.0,0.7788334408507426,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,obs_bias,0.0,1.7994544506072996,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,obs_bias,0.25,1.7499272823333738,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,obs_bias,0.5,1.6436780691146848,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,obs_bias,1.0,1.4399387836456299,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s42,obs_bias,2.0,1.2539918422698975,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,obs_bias,0.0,1.7654356270952773,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,obs_bias,0.25,1.7223576091610546,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,obs_bias,0.5,1.6249538558020844,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,obs_bias,1.0,1.434277491367926,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s42,obs_bias,2.0,1.2557674557408023,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,obs_bias,0.0,3.11730708517371,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,obs_bias,0.25,2.990553595257213,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,obs_bias,0.5,2.7145049340845846,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,obs_bias,1.0,2.154493340668534,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s42,obs_bias,2.0,1.5775257592765581,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,obs_bias,0.0,1.4389579564749773,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,obs_bias,0.25,1.3911744457427917,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,obs_bias,0.5,1.2838802789723807,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,obs_bias,1.0,1.0698446364390028,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s42,obs_bias,2.0,0.8612608675299743,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,obs_bias,0.0,1.8065581321716306,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,obs_bias,0.25,1.7616021633148193,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,obs_bias,0.5,1.660036325454712,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,obs_bias,1.0,1.4608386754989624,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s123,obs_bias,2.0,1.275707483291626,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,obs_bias,0.0,1.772405013018315,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,obs_bias,0.25,1.7338485552691862,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,obs_bias,0.5,1.6411257645312936,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,obs_bias,1.0,1.4550952127861694,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s123,obs_bias,2.0,1.2775138454352317,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,obs_bias,0.0,3.1296132354426613,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,obs_bias,0.25,3.0105054856275975,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,obs_bias,0.5,2.741520301863958,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,obs_bias,1.0,2.185764585203454,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s123,obs_bias,2.0,1.6048441053265368,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,obs_bias,0.0,1.444638510991825,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,obs_bias,0.25,1.4004558577434196,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,obs_bias,0.5,1.2966577462319198,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,obs_bias,1.0,1.0853728223975985,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,obs_bias,2.0,0.8761755034908341,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,obs_bias,0.0,1.7984269857406616,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,obs_bias,0.25,1.7696150541305544,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,obs_bias,0.5,1.70128333568573,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,obs_bias,1.0,1.554632306098938,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,obs_bias,2.0,1.4026254415512085,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,obs_bias,0.0,1.7644275865302388,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,obs_bias,0.25,1.7417352049643982,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,obs_bias,0.5,1.6819029030565409,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,obs_bias,1.0,1.5485200824619694,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,obs_bias,2.0,1.4046115155787269,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,obs_bias,0.0,3.115527143754544,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,obs_bias,0.25,3.024199185748352,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,obs_bias,0.5,2.8096390015608166,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,obs_bias,1.0,2.3261023237378327,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,obs_bias,2.0,1.7645073038580834,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,obs_bias,0.0,1.438136330373606,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,obs_bias,0.25,1.406826024693736,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,obs_bias,0.5,1.3288758697180472,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,obs_bias,1.0,1.1550595436452011,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,obs_bias,2.0,0.9633447075886182,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,obs_bias,0.0,1.7018654346466064,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,obs_bias,0.25,1.5446150302886963,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,obs_bias,0.5,1.2620164155960083,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,obs_bias,1.0,0.9181506037712098,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,obs_bias,2.0,0.7129011750221252,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,obs_bias,0.0,1.6696915389178677,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,obs_bias,0.25,1.520280001060894,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,obs_bias,0.5,1.2476399601248034,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,obs_bias,1.0,0.9145407843942089,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,obs_bias,2.0,0.7139106209268943,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,obs_bias,0.0,2.9482475511650943,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,obs_bias,0.25,2.639683419278326,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,obs_bias,0.5,2.0841975392883825,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,obs_bias,1.0,1.3737732353785184,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,obs_bias,2.0,0.8968319645367165,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,obs_bias,0.0,1.3609195871604274,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,obs_bias,0.25,1.227953287168932,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,obs_bias,0.5,0.9857635860505448,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,obs_bias,1.0,0.6821668462883771,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,obs_bias,2.0,0.4896314822521336,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,obs_bias,0.0,1.8080322742462156,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,obs_bias,0.25,1.7843748331069949,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,obs_bias,0.5,1.731160283088684,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,obs_bias,1.0,1.61395525932312,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,obs_bias,2.0,1.4861966371536255,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,obs_bias,0.0,1.7738512863246465,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,obs_bias,0.25,1.7562624472596953,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,obs_bias,0.5,1.7114395025855327,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,obs_bias,1.0,1.607609800370322,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,obs_bias,2.0,1.4883010453964787,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,obs_bias,0.0,3.1321669836256762,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,obs_bias,0.25,3.049423039635777,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,obs_bias,0.5,2.858980245849844,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,obs_bias,1.0,2.414863671874244,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,obs_bias,2.0,1.869640135948691,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,obs_bias,0.0,1.4458173285309313,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,obs_bias,0.25,1.41855989932049,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,obs_bias,0.5,1.3522128140305112,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,obs_bias,1.0,1.1991352668949973,exact rescaling of published aggregate; no per-episode CI
