reference,model,domain,severity,skill,method
ar1,dlinear_s123,actuation_idv6,0.35,1.4421810890069087,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,actuation_idv6,0.75,1.4043213215314767,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s123,actuation_idv6,1.0,1.3273562753372241,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,actuation_idv6,0.0,1.7984269857406616,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,actuation_idv6,0.35,1.8052976131439207,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,actuation_idv6,0.75,1.7520517110824587,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s7,actuation_idv6,1.0,1.604338884353638,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,actuation_idv6,0.0,1.7644275865302388,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,actuation_idv6,0.35,1.7691246733872203,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,actuation_idv6,0.75,1.714962385162379,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s7,actuation_idv6,1.0,1.592952219903548,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,actuation_idv6,0.0,3.115527143754544,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,actuation_idv6,0.35,3.1498252366766164,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,actuation_idv6,0.75,3.0682982706687754,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s7,actuation_idv6,1.0,2.730054841080281,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,actuation_idv6,0.0,1.438136330373606,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,actuation_idv6,0.35,1.4355267715859164,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,actuation_idv6,0.75,1.3995608847708814,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s7,actuation_idv6,1.0,1.3287157778744438,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,actuation_idv6,0.0,1.7018654346466064,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,actuation_idv6,0.35,1.6886417865753176,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,actuation_idv6,0.75,1.5479875802993772,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s2024,actuation_idv6,1.0,1.3712007999420168,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,actuation_idv6,0.0,1.6696915389178677,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,actuation_idv6,0.35,1.654806291988882,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,actuation_idv6,0.75,1.5152181046481779,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s2024,actuation_idv6,1.0,1.361468814041217,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,actuation_idv6,0.0,2.9482475511650943,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,actuation_idv6,0.35,2.9462879008623557,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,actuation_idv6,0.75,2.7109288987337337,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s2024,actuation_idv6,1.0,2.3333308308381704,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,actuation_idv6,0.0,1.3609195871604274,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,actuation_idv6,0.35,1.3427650236716326,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,actuation_idv6,0.75,1.2365518972950953,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s2024,actuation_idv6,1.0,1.1356304801220627,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,actuation_idv6,0.0,1.8080322742462156,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,actuation_idv6,0.35,1.8152778148651123,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,actuation_idv6,0.75,1.7620782852172852,exact rescaling of published aggregate; no per-episode CI
persistence,dlinear_s31337,actuation_idv6,1.0,1.6091004610061646,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,actuation_idv6,0.0,1.7738512863246465,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,actuation_idv6,0.35,1.7789049007479565,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,actuation_idv6,0.75,1.7247767059295702,exact rescaling of published aggregate; no per-episode CI
history_mean,dlinear_s31337,actuation_idv6,1.0,1.5976800016539352,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,actuation_idv6,0.0,3.1321669836256762,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,actuation_idv6,0.35,3.1672383717850083,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,actuation_idv6,0.75,3.085857409981858,exact rescaling of published aggregate; no per-episode CI
drift,dlinear_s31337,actuation_idv6,1.0,2.7381574717141093,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,actuation_idv6,0.0,1.4458173285309313,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,actuation_idv6,0.35,1.4434627742994233,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,actuation_idv6,0.75,1.4075702379643946,exact rescaling of published aggregate; no per-episode CI
ar1,dlinear_s31337,actuation_idv6,1.0,1.3326593225254355,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,actuation_idv6,0.0,1.9912822246551514,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,actuation_idv6,0.35,1.9749917984008787,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,actuation_idv6,0.75,1.826686978340149,exact rescaling of published aggregate; no per-episode CI
persistence,patchtf_s42,actuation_idv6,1.0,1.612227201461792,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,actuation_idv6,0.0,1.9536368824569597,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,actuation_idv6,0.35,1.935418678255266,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,actuation_idv6,0.75,1.7880176923452937,exact rescaling of published aggregate; no per-episode CI
history_mean,patchtf_s42,actuation_idv6,1.0,1.6007845503240627,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,actuation_idv6,0.0,3.449622292691552,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,actuation_idv6,0.35,3.4459021955935456,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,actuation_idv6,0.75,3.1990040369478945,exact rescaling of published aggregate; no per-episode CI
drift,patchtf_s42,actuation_idv6,1.0,2.7434781511546795,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,actuation_idv6,0.0,1.5923556163300974,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,actuation_idv6,0.35,1.570463274102304,exact rescaling of published aggregate; no per-episode CI
ar1,patchtf_s42,actuation_idv6,0.75,1.4591804724905546,exact rescaling of published aggregate; no per-episode CI
