reference,model,domain,min_skill,crossing,last_severity
history_mean,patchtf_s31337,dynamics_idv13,1.424565413580464,,6.0
drift,patchtf_s31337,dynamics_idv13,2.0675433061771176,,6.0
ar1,patchtf_s31337,dynamics_idv13,1.248360413176115,,6.0
persistence,dlinear,obs_bias,1.1442017555236816,,2.0
history_mean,dlinear,obs_bias,1.1458219096443523,,2.0
drift,dlinear,obs_bias,1.4394094780399485,,2.0
ar1,dlinear,obs_bias,0.7858553487938442,0.9908934749526658,2.0
persistence,patchtf,obs_bias,1.1339778900146484,,2.0
history_mean,patchtf,obs_bias,1.135583567459546,,2.0
drift,patchtf,obs_bias,1.4265478224404315,,2.0
ar1,patchtf,obs_bias,0.7788334408507426,0.9738657340229835,2.0
persistence,dlinear_s42,obs_bias,1.2539918422698975,,2.0
history_mean,dlinear_s42,obs_bias,1.2557674557408023,,2.0
drift,dlinear_s42,obs_bias,1.5775257592765581,,2.0
ar1,dlinear_s42,obs_bias,0.8612608675299743,1.334851732732209,2.0
persistence,dlinear_s123,obs_bias,1.275707483291626,,2.0
history_mean,dlinear_s123,obs_bias,1.2775138454352317,,2.0
drift,dlinear_s123,obs_bias,1.6048441053265368,,2.0
ar1,dlinear_s123,obs_bias,0.8761755034908341,1.408097115411157,2.0
persistence,dlinear_s7,obs_bias,1.4026254415512085,,2.0
history_mean,dlinear_s7,obs_bias,1.4046115155787269,,2.0
drift,dlinear_s7,obs_bias,1.7645073038580834,,2.0
ar1,dlinear_s7,obs_bias,0.9633447075886182,1.8088030474565708,2.0
persistence,dlinear_s2024,obs_bias,0.7129011750221252,0.8809864292782719,2.0
history_mean,dlinear_s2024,obs_bias,0.7139106209268943,0.8717210641269957,2.0
drift,dlinear_s2024,obs_bias,0.8968319645367165,1.7836881776215512,2.0
ar1,dlinear_s2024,obs_bias,0.4896314822521336,0.4853044804509502,2.0
persistence,dlinear_s31337,obs_bias,1.4861966371536255,,2.0
history_mean,dlinear_s31337,obs_bias,1.4883010453964787,,2.0
drift,dlinear_s31337,obs_bias,1.869640135948691,,2.0
ar1,dlinear_s31337,obs_bias,1.0207426889780085,,2.0
persistence,patchtf_s42,obs_bias,1.0716609954833984,,2.0
history_mean,patchtf_s42,obs_bias,1.0731784341426318,,2.0
drift,patchtf_s42,obs_bias,1.3481529692624246,,2.0
ar1,patchtf_s42,obs_bias,0.7360332400546942,0.921120109338742,2.0
persistence,patchtf_s123,obs_bias,1.1561185121536255,,2.0
history_mean,patchtf_s123,obs_bias,1.1577555400312762,,2.0
drift,patchtf_s123,obs_bias,1.4544007960988743,,2.0
ar1,patchtf_s123,obs_bias,0.7940399603736699,1.0351138361644348,2.0
persistence,patchtf_s7,obs_bias,1.1137419939041138,,2.0
history_mean,patchtf_s7,obs_bias,1.11531901794911,,2.0
drift,patchtf_s7,obs_bias,1.4010910002344528,,2.0
ar1,patchtf_s7,obs_bias,0.7649351164343271,0.9329124975636207,2.0
persistence,patchtf_s2024,obs_bias,1.204870581626892,,2.0
history_mean,patchtf_s2024,obs_bias,1.2065766409195595,,2.0
drift,patchtf_s2024,obs_bias,1.5157310558499304,,2.0
ar1,patchtf_s2024,obs_bias,0.8275236308674289,1.1179384126449516,2.0
persistence,patchtf_s31337,obs_bias,1.1320875883102417,,2.0
history_mean,patchtf_s31337,obs_bias,1.1336905891466817,,2.0
drift,patchtf_s31337,obs_bias,1.4241698168338657,,2.0
ar1,patchtf_s31337,obs_bias,0.777535152591639,0.9754362984806968,2.0
persistence,dlinear,obs_noise,1.3436967134475708,,2.0
history_mean,dlinear,obs_noise,0.7597019495416826,1.432021506821668,2.0
drift,dlinear,obs_noise,3.03693956986981,,2.0
ar1,dlinear,obs_noise,0.9102752919439363,1.5502846727587216,2.0
persistence,patchtf,obs_noise,1.2544927597045898,,2.0
history_mean,patchtf,obs_noise,0.7092676388172834,1.3878904045794742,2.0
drift,patchtf,obs_noise,2.8353263529885844,,2.0
ar1,patchtf,obs_noise,0.8498448732167763,1.4253809426807933,2.0
persistence,dlinear_s42,obs_noise,1.4542070627212524,,2.0
history_mean,dlinear_s42,obs_noise,0.8221825130107573,1.5876098188187346,2.0
drift,dlinear_s42,obs_noise,3.11730708517371,,2.0
ar1,dlinear_s42,obs_noise,0.9851395373061409,1.9221501138927772,2.0
persistence,dlinear_s123,obs_noise,1.5039011240005493,,2.0
history_mean,dlinear_s123,obs_noise,0.8502786412937999,1.6554269950881855,2.0
drift,dlinear_s123,obs_noise,3.1296132354426613,,2.0
ar1,dlinear_s123,obs_noise,1.0188043335999637,,2.0
persistence,dlinear_s7,obs_noise,1.4359763860702515,,2.0
history_mean,dlinear_s7,obs_noise,0.811875216390455,1.5641468482860161,2.0
drift,dlinear_s7,obs_noise,3.115527143754544,,2.0
ar1,dlinear_s7,obs_noise,0.9727893288515506,1.8597206451621235,2.0
persistence,dlinear_s2024,obs_noise,0.9935072064399719,1.9676617040964732,2.0
history_mean,dlinear_s2024,obs_noise,0.5617111019640874,0.9201840297921162,2.0
drift,dlinear_s2024,obs_noise,2.245463070641121,,2.0
ar1,dlinear_s2024,obs_noise,0.6730425499592003,0.7595711237652558,2.0
persistence,dlinear_s31337,obs_noise,1.5025050640106201,,2.0
history_mean,dlinear_s31337,obs_noise,0.8494893340897172,1.652218432389069,2.0
drift,dlinear_s31337,obs_noise,3.1321669836256762,,2.0
ar1,dlinear_s31337,obs_noise,1.0178585852758175,,2.0
persistence,patchtf_s42,obs_noise,1.2504171133041382,,2.0
history_mean,patchtf_s42,obs_noise,0.7069633416607313,1.37728220472746,2.0
drift,patchtf_s42,obs_noise,2.826114830996712,,2.0
ar1,patchtf_s42,obs_noise,0.8470838631019918,1.406822409441976,2.0
persistence,patchtf_s123,obs_noise,1.2513619661331177,,2.0
history_mean,patchtf_s123,obs_noise,0.7074975444529402,1.3829182600312004,2.0
drift,patchtf_s123,obs_noise,2.828250328475655,,2.0
ar1,patchtf_s123,obs_noise,0.8477239451801392,1.416283083039428,2.0
persistence,patchtf_s7,obs_noise,1.2580740451812744,,2.0
history_mean,patchtf_s7,obs_noise,0.7112924332007734,1.3955251105844249,2.0
drift,patchtf_s7,obs_noise,2.843420551230119,,2.0
ar1,patchtf_s7,obs_noise,0.8522709829558256,1.4388731224120936,2.0
persistence,patchtf_s2024,obs_noise,1.263061761856079,,2.0
history_mean,patchtf_s2024,obs_noise,0.7141123984828858,1.407598035020922,2.0
drift,patchtf_s2024,obs_noise,2.8546934776140422,,2.0
ar1,patchtf_s2024,obs_noise,0.8556498669010296,1.459778843718747,2.0
persistence,patchtf_s31337,obs_noise,1.2496570348739624,,2.0
history_mean,patchtf_s31337,obs_noise,0.706533606989633,1.3759014408259485,2.0
drift,patchtf_s31337,obs_noise,2.824396949098435,,2.0
ar1,patchtf_s31337,obs_noise,0.8465689547837647,1.4043187619531707,2.0
persistence,dlinear,process_idv1,1.142242670059204,,2.0
history_mean,dlinear,process_idv1,1.1582918137143852,,2.0
drift,dlinear,process_idv1,1.594278311409896,,2.0
ar1,dlinear,process_idv1,1.070402942917713,,2.0
persistence,patchtf,process_idv1,1.2987174987792969,,2.0
history_mean,patchtf,process_idv1,1.3169652006483978,,2.0
drift,patchtf,process_idv1,1.8126771090113654,,2.0
ar1,patchtf,process_idv1,1.2170365099738722,,2.0
persistence,dlinear_s42,process_idv1,1.1165012121200562,,2.0
history_mean,dlinear_s42,process_idv1,1.1321886740002622,,2.0
drift,dlinear_s42,process_idv1,1.558349826883638,,2.0
ar1,dlinear_s42,process_idv1,1.0462804573414841,,2.0
persistence,dlinear_s123,process_idv1,1.1552459001541138,,2.0
history_mean,dlinear_s123,process_idv1,1.1714777464111543,,2.0
drift,dlinear_s123,process_idv1,1.6124274913188485,,2.0
ar1,dlinear_s123,process_idv1,1.0825883533614555,,2.0
persistence,dlinear_s7,process_idv1,1.147631049156189,,2.0
history_mean,dlinear_s7,process_idv1,1.1637559025291586,,2.0
drift,dlinear_s7,process_idv1,1.6017991090067254,,2.0
ar1,dlinear_s7,process_idv1,1.0754524275799084,,2.0
persistence,dlinear_s2024,process_idv1,1.1424534320831299,,2.0
history_mean,dlinear_s2024,process_idv1,1.1585055370617563,,2.0
drift,dlinear_s2024,process_idv1,1.5945724812324926,,2.0
ar1,dlinear_s2024,process_idv1,1.0706004493640917,,2.0
persistence,dlinear_s31337,process_idv1,1.1502019166946411,,2.0
history_mean,dlinear_s31337,process_idv1,1.166362892183799,,2.0
drift,dlinear_s31337,process_idv1,1.605387381854079,,2.0
ar1,dlinear_s31337,process_idv1,1.0778616040632805,,2.0
persistence,patchtf_s42,process_idv1,1.2988883256912231,,2.0
history_mean,patchtf_s42,process_idv1,1.3171384277732752,,2.0
