system,reference,model,domain,metric,value
mbr,ar1,ridge,actuation,grid_min,0.8922998544645546
mbr,ar1,ridge,actuation,normalized_trapezoid,1.1511893428809974
mbr,persistence,gru_s123,obs_bias,grid_mean,2.1746308631247895
mbr,persistence,gru_s123,obs_bias,grid_min,1.2067344944903116
mbr,persistence,gru_s123,obs_bias,normalized_trapezoid,1.6621466045542228
mbr,persistence,gru_s42,obs_bias,grid_mean,2.8552381080663025
mbr,persistence,gru_s42,obs_bias,grid_min,1.27998969259208
mbr,persistence,gru_s42,obs_bias,normalized_trapezoid,1.9516666255418333
mbr,persistence,gru_s7,obs_bias,grid_mean,2.7616403660015667
mbr,persistence,gru_s7,obs_bias,grid_min,1.2315195102571594
mbr,persistence,gru_s7,obs_bias,normalized_trapezoid,1.8739998867847925
mbr,persistence,mlp_s123,obs_bias,grid_mean,1.0324497365628047
mbr,persistence,mlp_s123,obs_bias,grid_min,1.0129452310145741
mbr,persistence,mlp_s123,obs_bias,normalized_trapezoid,1.0376859222353338
mbr,persistence,mlp_s42,obs_bias,grid_mean,1.4989806891307345
mbr,persistence,mlp_s42,obs_bias,grid_min,1.1615652484674652
mbr,persistence,mlp_s42,obs_bias,normalized_trapezoid,1.3499741911319911
mbr,persistence,mlp_s7,obs_bias,grid_mean,1.906295529598451
mbr,persistence,mlp_s7,obs_bias,grid_min,1.1970333490388643
mbr,persistence,mlp_s7,obs_bias,normalized_trapezoid,1.542825880810772
mbr,persistence,ridge,obs_bias,grid_mean,1.2582882483117772
mbr,persistence,ridge,obs_bias,grid_min,0.6701673534953677
mbr,persistence,ridge,obs_bias,normalized_trapezoid,0.9443676165303421
mbr,history_mean,gru_s123,obs_bias,grid_mean,2.1155455677147486
mbr,history_mean,gru_s123,obs_bias,grid_min,1.1759838133264333
mbr,history_mean,gru_s123,obs_bias,normalized_trapezoid,1.6147783432637035
mbr,history_mean,gru_s42,obs_bias,grid_mean,2.7780454452017844
mbr,history_mean,gru_s42,obs_bias,grid_min,1.247372281629137
mbr,history_mean,gru_s42,obs_bias,normalized_trapezoid,1.8961891403910178
mbr,history_mean,gru_s7,obs_bias,grid_mean,2.687011569664402
mbr,history_mean,gru_s7,obs_bias,grid_min,1.200137243503437
mbr,history_mean,gru_s7,obs_bias,normalized_trapezoid,1.8207412538561445
mbr,history_mean,mlp_s123,obs_bias,grid_mean,1.0040962114716832
mbr,history_mean,mlp_s123,obs_bias,grid_min,0.9868197919459429
mbr,history_mean,mlp_s123,obs_bias,normalized_trapezoid,1.0080505907046307
mbr,history_mean,mlp_s42,obs_bias,grid_mean,1.4579722059077342
mbr,history_mean,mlp_s42,obs_bias,grid_min,1.1319655952133743
mbr,history_mean,mlp_s42,obs_bias,normalized_trapezoid,1.311417260805231
mbr,history_mean,mlp_s7,obs_bias,grid_mean,1.8543848742107543
mbr,history_mean,mlp_s7,obs_bias,grid_min,1.1665298778719357
mbr,history_mean,mlp_s7,obs_bias,normalized_trapezoid,1.4988208029547812
mbr,history_mean,ridge,obs_bias,grid_mean,1.2241247119271252
mbr,history_mean,ridge,obs_bias,grid_min,0.6530897753637503
mbr,history_mean,ridge,obs_bias,normalized_trapezoid,0.9174603230634767
mbr,drift,gru_s123,obs_bias,grid_mean,5.1243755068533785
mbr,drift,gru_s123,obs_bias,grid_min,1.8798901618718005
mbr,drift,gru_s123,obs_bias,normalized_trapezoid,3.4025975200020966
mbr,drift,gru_s42,obs_bias,grid_mean,6.800127191168341
mbr,drift,gru_s42,obs_bias,grid_min,1.9940094870806564
mbr,drift,gru_s42,obs_bias,normalized_trapezoid,4.051004253446685
mbr,drift,gru_s7,obs_bias,grid_mean,6.581403772467128
mbr,drift,gru_s7,obs_bias,grid_min,1.9185010638677813
mbr,drift,gru_s7,obs_bias,normalized_trapezoid,3.8906701751051713
mbr,drift,mlp_s123,obs_bias,grid_mean,2.354843524492101
mbr,drift,mlp_s123,obs_bias,grid_min,1.6050394250706947
mbr,drift,mlp_s123,obs_bias,normalized_trapezoid,2.044029033703957
mbr,drift,mlp_s42,obs_bias,grid_mean,3.468453063072924
mbr,drift,mlp_s42,obs_bias,grid_min,1.8095240443826501
mbr,drift,mlp_s42,obs_bias,normalized_trapezoid,2.7032731645040524
mbr,drift,mlp_s7,obs_bias,grid_mean,4.465276962304414
mbr,drift,mlp_s7,obs_bias,grid_min,1.8647774026224961
mbr,drift,mlp_s7,obs_bias,normalized_trapezoid,3.132402125136477
mbr,drift,ridge,obs_bias,grid_mean,2.9705087218634647
mbr,drift,ridge,obs_bias,grid_min,1.0440084545488375
mbr,drift,ridge,obs_bias,normalized_trapezoid,1.9379878239371482
mbr,ar1,gru_s123,obs_bias,grid_mean,2.026502870521976
mbr,ar1,gru_s123,obs_bias,grid_min,1.1090588408814457
mbr,ar1,gru_s123,obs_bias,normalized_trapezoid,1.5313743973851386
mbr,ar1,gru_s42,obs_bias,grid_mean,2.66360639172678
mbr,ar1,gru_s42,obs_bias,grid_min,1.1763846076232036
mbr,ar1,gru_s42,obs_bias,normalized_trapezoid,1.7994151128411784
mbr,ar1,gru_s7,obs_bias,grid_mean,2.576561869044399
mbr,ar1,gru_s7,obs_bias,grid_min,1.1318377048180557
mbr,ar1,gru_s7,obs_bias,normalized_trapezoid,1.7278673458236358
mbr,ar1,mlp_s123,obs_bias,grid_mean,0.9595742888451401
mbr,ar1,mlp_s123,obs_bias,grid_min,0.9469080696531247
mbr,ar1,mlp_s123,obs_bias,normalized_trapezoid,0.9546146649624629
mbr,ar1,mlp_s42,obs_bias,grid_mean,1.3946478377289022
mbr,ar1,mlp_s42,obs_bias,grid_min,1.0675456895906594
mbr,ar1,mlp_s42,obs_bias,normalized_trapezoid,1.242585714129222
mbr,ar1,mlp_s7,obs_bias,grid_mean,1.7755360412011751
mbr,ar1,mlp_s7,obs_bias,grid_min,1.100142926752258
mbr,ar1,mlp_s7,obs_bias,normalized_trapezoid,1.420938493034898
mbr,ar1,ridge,obs_bias,grid_mean,1.172786196421432
mbr,ar1,ridge,obs_bias,grid_min,0.61592258417879
mbr,ar1,ridge,obs_bias,normalized_trapezoid,0.8701610513197486
mbr,persistence,gru_s123,obs_noise,grid_mean,2.1539681761418548
mbr,persistence,gru_s123,obs_noise,grid_min,1.2047550124037982
mbr,persistence,gru_s123,obs_noise,normalized_trapezoid,1.6494421472424188
mbr,persistence,gru_s42,obs_noise,grid_mean,2.8033826051073847
mbr,persistence,gru_s42,obs_noise,grid_min,1.2436429755884755
mbr,persistence,gru_s42,obs_noise,normalized_trapezoid,1.897857839096942
mbr,persistence,gru_s7,obs_noise,grid_mean,2.734842578680257
mbr,persistence,gru_s7,obs_noise,grid_min,1.2367924495817473
mbr,persistence,gru_s7,obs_noise,normalized_trapezoid,1.8635459174336297
mbr,persistence,mlp_s123,obs_noise,grid_mean,1.008081131817851
mbr,persistence,mlp_s123,obs_noise,grid_min,1.000508188179755
mbr,persistence,mlp_s123,obs_noise,normalized_trapezoid,1.0036551285084445
mbr,persistence,mlp_s42,obs_noise,grid_mean,1.4706016209248767
mbr,persistence,mlp_s42,obs_noise,grid_min,1.1334323547895364
mbr,persistence,mlp_s42,obs_noise,normalized_trapezoid,1.313973418225111
mbr,persistence,mlp_s7,obs_noise,grid_mean,1.9013574224605865
mbr,persistence,mlp_s7,obs_noise,grid_min,1.1952921189827157
mbr,persistence,mlp_s7,obs_noise,normalized_trapezoid,1.5404091433232936
mbr,persistence,ridge,obs_noise,grid_mean,1.3528144729349234
mbr,persistence,ridge,obs_noise,grid_min,0.8221013452671303
mbr,persistence,ridge,obs_noise,normalized_trapezoid,1.0954596665137604
mbr,history_mean,gru_s123,obs_noise,grid_mean,1.9130861442246971
mbr,history_mean,gru_s123,obs_noise,grid_min,0.6113176718826294
