dataset,reference,model,domain,clean_min,clean_max,no_crossing_count,crossing_min,crossing_max
mbr_reference,history_mean,gru_s123,obs_noise,2.4255768180685773,2.731332634061741,0,0.46170018718176653,0.5428664179199839
mbr_reference,history_mean,gru_s42,obs_noise,3.5481996170623695,3.7761921880920446,0,0.5069343831935128,0.5881847929062592
mbr_reference,history_mean,gru_s7,obs_noise,3.3710873791095586,3.7465846168476173,0,0.49359671902917907,0.5809287598915708
mbr_reference,history_mean,mlp_s123,obs_noise,0.9716046381904802,1.020840241240586,0,0.0,0.054298981957662765
mbr_reference,history_mean,mlp_s42,obs_noise,1.5074521824055667,1.6854609339340276,0,0.340174319896799,0.39979554138126355
mbr_reference,history_mean,mlp_s7,obs_noise,2.0868446046119975,2.2976690860227578,0,0.4376354954566003,0.5067542474856287
mbr_reference,history_mean,ridge,obs_noise,1.413490367068558,1.6250365173032426,0,0.2345262475782764,0.2948377225414679
mbr_reference,drift,gru_s123,obs_noise,6.266938395487873,7.319998298526381,8,,
mbr_reference,drift,gru_s42,obs_noise,9.12385628252201,10.291412813283902,8,,
mbr_reference,drift,gru_s7,obs_noise,8.998172592430148,10.070146804768878,8,,
mbr_reference,drift,mlp_s123,obs_noise,2.4545762832924485,2.748675413291421,8,,
mbr_reference,drift,mlp_s42,obs_noise,3.733871563263994,4.395529039029856,8,,
mbr_reference,drift,mlp_s7,obs_noise,5.467533875146068,6.022586488921983,8,,
mbr_reference,drift,ridge,obs_noise,3.742113784967454,4.2842040476064795,8,,
mbr_reference,ar1,gru_s123,obs_noise,2.358703716531028,2.6907606851160484,8,,
mbr_reference,ar1,gru_s42,obs_noise,3.4503758287165343,3.720099614542495,8,,
mbr_reference,ar1,gru_s7,obs_noise,3.2781465714155553,3.6661163966884187,8,,
mbr_reference,ar1,mlp_s123,obs_noise,0.9571721617925244,0.9668500963106127,0,0.0,0.0
mbr_reference,ar1,mlp_s42,obs_noise,1.4277261307521032,1.6604246442823203,8,,
mbr_reference,ar1,mlp_s7,obs_noise,2.0293103430302812,2.263538891959363,8,,
mbr_reference,ar1,ridge,obs_noise,1.3745204675645748,1.6008977881742064,0,0.3749083816760822,0.5037691294590902
mbr_reference,persistence,gru_s123,process,2.494273016779249,2.853071285368231,8,,
mbr_reference,persistence,gru_s42,process,3.648690281445011,3.9445014369618177,8,,
mbr_reference,persistence,gru_s7,process,3.4665619428262207,3.8872618728477755,8,,
mbr_reference,persistence,mlp_s123,process,1.0112998534675042,1.0150886654457958,0,11.779349812130537,15.302726262929598
mbr_reference,persistence,mlp_s42,process,1.4951604777048124,1.760583875156231,8,,
mbr_reference,persistence,mlp_s7,process,2.1459473675378367,2.400078851934376,8,,
mbr_reference,persistence,ridge,process,1.453522665533993,1.6974662724612959,8,,
mbr_reference,history_mean,gru_s123,process,2.4255768180685773,2.731332634061741,8,,
mbr_reference,history_mean,gru_s42,process,3.5481996170623695,3.7761921880920446,8,,
mbr_reference,history_mean,gru_s7,process,3.3710873791095586,3.7465846168476173,8,,
