system,reference,model,domain,severity,skill,ci_low,ci_high,reference_loss,model_loss,n_valid
mbr,persistence,gru_s123,actuation,0.0,2.6552166673919153,2.160226134122246,3.2123882337468013,142.57373747379214,53.69570748206966,72
mbr,persistence,gru_s123,actuation,0.05,2.4523233992695856,2.010080810481666,2.955482443555242,132.8801972260761,54.185429729885506,72
mbr,persistence,gru_s123,actuation,0.1,2.0458852800644407,1.622190130016668,2.529129338205606,128.8006698168773,62.95595900314624,72
mbr,persistence,gru_s123,actuation,0.2,1.5668147472846863,1.2156992280450758,2.003149335356055,125.36072634389828,80.00992239902664,72
mbr,persistence,gru_s123,actuation,0.35,1.2655608335975397,0.948123357085332,1.6369005517469313,123.83334902441993,97.84859466012846,72
mbr,persistence,gru_s123,actuation,0.5,1.1253124485555048,0.8211761670012115,1.4725256256578427,123.64241506470619,109.87385345591656,72
mbr,persistence,gru_s42,actuation,0.0,3.7809824995548915,3.3257151536896026,4.2184731838038285,142.57373747379214,37.70811885285804,72
mbr,persistence,gru_s42,actuation,0.05,3.361686891299549,2.7857984952128403,4.0329682138209355,132.8801972260761,39.52783275860285,72
mbr,persistence,gru_s42,actuation,0.1,2.6239462972095224,2.035379528545893,3.391572636152122,128.8006698168773,49.086625726240065,72
mbr,persistence,gru_s42,actuation,0.2,1.8610518619427194,1.3974854213468035,2.505997885692464,125.36072634389828,67.36014665009733,72
mbr,persistence,gru_s42,actuation,0.35,1.4253139253126317,1.0598885134010558,1.9345556009890754,123.83334902441993,86.88145595522617,72
mbr,persistence,gru_s42,actuation,0.5,1.2343834428612832,0.9053040038467098,1.6771983223656144,123.64241506470619,100.16532203162483,72
mbr,persistence,gru_s7,actuation,0.0,3.7180705434566206,3.1537478012495477,4.357110442822515,142.57373747379214,38.34616256130633,72
mbr,persistence,gru_s7,actuation,0.05,3.1842858428638623,2.6210811031741854,3.789821009830153,132.8801972260761,41.72998398490732,72
mbr,persistence,gru_s7,actuation,0.1,2.4642230446951383,1.9377080570331735,3.0819036087265164,128.8006698168773,52.26826771795403,72
mbr,persistence,gru_s7,actuation,0.2,1.7542499520347141,1.3488255971866177,2.260777234492582,125.36072634389828,71.46115420923641,72
mbr,persistence,gru_s7,actuation,0.35,1.356123437207773,1.0338455229508805,1.7624841511084208,123.83334902441993,91.31421641041021,72
mbr,persistence,gru_s7,actuation,0.5,1.181116801669603,0.8864960042145513,1.5491583896382217,123.64241506470619,104.68263163298309,72
mbr,persistence,mlp_s123,actuation,0.0,1.0129452310145741,1.0074371038208616,1.0198700732673938,142.57373747379214,140.75167453129635,72
mbr,persistence,mlp_s123,actuation,0.05,1.0147578384972873,1.008681636258433,1.0229837855225217,132.8801972260761,130.94769233106183,72
mbr,persistence,mlp_s123,actuation,0.1,1.0153204805997733,1.009165775649202,1.023762679156941,128.8006698168773,126.85715720103644,72
mbr,persistence,mlp_s123,actuation,0.2,1.0159636649295154,1.0098566896673833,1.0248567129487143,125.36072634389828,123.39095449106975,72
mbr,persistence,mlp_s123,actuation,0.35,1.0166623955941252,1.0107231719357097,1.0259673392257807,123.83334902441993,121.80380582686273,72
mbr,persistence,mlp_s123,actuation,0.5,1.0172754537539004,1.0113606250353804,1.0272374671504152,123.64241506470619,121.54270960578765,72
mbr,persistence,mlp_s42,actuation,0.0,1.6067362245256167,1.277677659136347,2.0102198504060946,142.57373747379214,88.734999122763,72
mbr,persistence,mlp_s42,actuation,0.05,1.7420974859112843,1.456818593217736,2.095562393633156,132.8801972260761,76.2759824296325,72
mbr,persistence,mlp_s42,actuation,0.1,1.7973212812188653,1.5694910457753712,2.071492043999534,128.8006698168773,71.66257427805577,72
mbr,persistence,mlp_s42,actuation,0.2,1.6863363526863433,1.4566674311669814,1.916953784066842,125.36072634389828,74.33909975563175,72
mbr,persistence,mlp_s42,actuation,0.35,1.4907857266222344,1.2296737761392469,1.7307716906101795,123.83334902441993,83.06582684085447,72
mbr,persistence,mlp_s42,actuation,0.5,1.3656524608831688,1.0872221361147725,1.6165608905020188,123.64241506470619,90.53724765724547,72
mbr,persistence,mlp_s7,actuation,0.0,2.24559973045902,1.8917360938679044,2.6022352524251926,142.57373747379214,63.49027190373275,72
mbr,persistence,mlp_s7,actuation,0.05,2.272390279407529,1.9732955738070348,2.6179154460103775,132.8801972260761,58.475957422560974,72
mbr,persistence,mlp_s7,actuation,0.1,2.0145547744516317,1.6744352528616449,2.3978688163725366,128.8006698168773,63.9350547576634,72
mbr,persistence,mlp_s7,actuation,0.2,1.6166144067941906,1.2935562705650836,1.9984440595445712,125.36072634389828,77.54522402933021,72
mbr,persistence,mlp_s7,actuation,0.35,1.3255459026356826,1.0346695548109983,1.6633189590466835,123.83334902441993,93.42064184891129,72
mbr,persistence,mlp_s7,actuation,0.5,1.1848067362439292,0.9089684272036636,1.5078272571121205,123.64241506470619,104.35661047697704,72
mbr,persistence,ridge,actuation,0.0,1.5677831463769663,1.2759373535314589,1.8966904052918325,142.57373747379214,90.93970540713475,72
mbr,persistence,ridge,actuation,0.05,1.5547543705058575,1.2725296820759362,1.8841358436297495,132.8801972260761,85.46700350026478,72
mbr,persistence,ridge,actuation,0.1,1.4751809502181403,1.2070075391880124,1.8136712568118172,128.8006698168773,87.31177676733901,72
mbr,persistence,ridge,actuation,0.2,1.2728302113253833,1.0237172389028926,1.5668049789431249,125.36072634389828,98.48974767291358,72
mbr,persistence,ridge,actuation,0.35,1.0696487929474563,0.8438291509264627,1.3149348250595148,123.83334902441993,115.77010121536493,72
mbr,persistence,ridge,actuation,0.5,0.9643355434572908,0.7455156159612037,1.2001623384793985,123.64241506470619,128.2151382924549,72
mbr,history_mean,gru_s123,actuation,0.0,2.586734483820666,2.2264765419181196,3.014334311354093,138.89653817701694,53.69570748206966,72
mbr,history_mean,gru_s123,actuation,0.05,2.2561085040845765,1.9008093021157977,2.670414243711214,122.24820881107192,54.185429729885506,72
mbr,history_mean,gru_s123,actuation,0.1,1.7806666222855903,1.4241899850962867,2.2114556850705136,112.10357487088251,62.95595900314624,72
mbr,history_mean,gru_s123,actuation,0.2,1.2743870102430153,0.9694130866339281,1.6577288027218255,101.96360579587122,80.00992239902664,72
mbr,history_mean,gru_s123,actuation,0.35,0.9846965348611665,0.7427270948497426,1.283309243815612,96.35117210286333,97.84859466012846,72
mbr,history_mean,gru_s123,actuation,0.5,0.8602250250105278,0.6484981965663174,1.1313202742222508,94.51623833711889,109.87385345591656,72
mbr,history_mean,gru_s42,actuation,0.0,3.68346505745909,3.3765325981105554,3.9784224233132757,138.89653817701694,37.70811885285804,72
mbr,history_mean,gru_s42,actuation,0.05,3.0927121544366933,2.5906190455476645,3.5899864468934406,122.24820881107192,39.52783275860285,72
mbr,history_mean,gru_s42,actuation,0.1,2.283790609199599,1.7286053321350614,2.936481375725607,112.10357487088251,49.086625726240065,72
mbr,history_mean,gru_s42,actuation,0.2,1.5137081919598803,1.0978888023713873,2.0508572940012146,101.96360579587122,67.36014665009733,72
mbr,history_mean,gru_s42,actuation,0.35,1.10899582705563,0.8039727932274084,1.5113177252042758,96.35117210286333,86.88145595522617,72
mbr,history_mean,gru_s42,actuation,0.5,0.9436024007118714,0.6894817302556413,1.277593914436666,94.51623833711889,100.16532203162483,72
mbr,history_mean,gru_s7,actuation,0.0,3.6221756989360965,3.190313315541669,4.191225447536822,138.89653817701694,38.34616256130633,72
mbr,history_mean,gru_s7,actuation,0.05,2.9295052894169813,2.4313509427802265,3.5082809821609935,122.24820881107192,41.72998398490732,72
mbr,history_mean,gru_s7,actuation,0.1,2.144773105468257,1.6262418631046023,2.7472443816388425,112.10357487088251,52.26826771795403,72
