"system","reference","model","domain","severity","skill","ci_low","ci_high","reference_loss","model_loss","n_valid","panel","x"
"mbr","Persistence","GRU (seed 42)","obs_noise",0,3.78098249955489,3.3257151536896,4.21847318380383,142.573737473792,37.708118852858,72,"MBR: observation noise",0
"mbr","Persistence","GRU (seed 42)","obs_noise",0.005,3.78395625956058,3.33043801349905,4.21964882970811,142.622750076161,37.6914372928621,72,"MBR: observation noise",0.005
"mbr","Persistence","GRU (seed 42)","obs_noise",0.01,3.78042248990999,3.32989386304785,4.21422100538632,142.718809461596,37.7520792563569,72,"MBR: observation noise",0.01
"mbr","Persistence","GRU (seed 42)","obs_noise",0.015,3.77052753246065,3.31984790937573,4.20146936327715,142.857903933512,37.8880415813547,72,"MBR: observation noise",0.015
"mbr","Persistence","GRU (seed 42)","obs_noise",0.02,3.75462752689481,3.30499909688047,4.18321151483684,143.03599199232,38.0959205587604,72,"MBR: observation noise",0.02
"mbr","Persistence","GRU (seed 42)","obs_noise",0.03,3.7069543303564,3.26944017176893,4.12654372170979,143.49611533062,38.7099765852319,72,"MBR: observation noise",0.03
"mbr","Persistence","GRU (seed 42)","obs_noise",0.04,3.6422970077655,3.21686388427597,4.05604602877728,144.07841022426,39.5570185289886,72,"MBR: observation noise",0.04
"mbr","Persistence","GRU (seed 42)","obs_noise",0.05,3.56567935394956,3.15139223708116,3.97752894896542,144.76773547156,40.6003235571944,72,"MBR: observation noise",0.05
"mbr","Persistence","GRU (seed 42)","obs_noise",0.07,3.39322766407033,3.00808349053845,3.79132752071052,146.421537623794,43.1511092445104,72,"MBR: observation noise",0.07
"mbr","Persistence","GRU (seed 42)","obs_noise",0.09,3.21414357695157,2.84881131820517,3.59788195539602,148.382997575672,46.1656407136625,72,"MBR: observation noise",0.09
"mbr","Persistence","GRU (seed 42)","obs_noise",0.12,2.95947225056149,2.62966200538085,3.31866437887138,151.784997407812,51.287859644237,72,"MBR: observation noise",0.12
"mbr","Persistence","GRU (seed 42)","obs_noise",0.16,2.66686923952285,2.36885829825528,2.99607276628582,156.979571780709,58.8628679105375,72,"MBR: observation noise",0.16
