system,reference,model,domain,crossing,bracket_low,bracket_high,status,last_valid,bootstrap_no_crossing_fraction,conditional_ci_low,conditional_ci_high
mbr,ar1,gru_s123,obs_bias,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,gru_s42,obs_bias,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,gru_s7,obs_bias,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,mlp_s123,obs_bias,0.0,,0.0,below_at_nominal,1.0,0.0,0.0,0.0
mbr,ar1,mlp_s42,obs_bias,,,,no_crossing_in_valid_grid,1.0,0.9765,0.5386142500123038,0.9956016576223646
mbr,ar1,mlp_s7,obs_bias,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,ridge,obs_bias,0.25689088366268453,0.25,0.3,observed_crossing,1.0,0.0,0.15338383336780442,0.3695159925131337
mbr,persistence,gru_s123,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,persistence,gru_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,persistence,gru_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,persistence,mlp_s123,obs_noise,,,,no_crossing_in_valid_grid,1.0,0.7455,0.5314689061678353,0.9904622332549124
mbr,persistence,mlp_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,persistence,mlp_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,persistence,ridge,obs_noise,0.5218342670185566,0.5,0.6,observed_crossing,1.0,0.0,0.3421201548571089,0.7414469800785506
mbr,history_mean,gru_s123,obs_noise,0.5114449754420776,0.5,0.6,observed_crossing,1.0,0.0,0.411539510728282,0.6334860790994347
mbr,history_mean,gru_s42,obs_noise,0.5600676497621564,0.5,0.6,observed_crossing,1.0,0.0,0.45993027507589157,0.6863894433393888
mbr,history_mean,gru_s7,obs_noise,0.5528274836419061,0.5,0.6,observed_crossing,1.0,0.0,0.4502904485025642,0.6882514942245286
mbr,history_mean,mlp_s123,obs_noise,0.0,,0.0,below_at_nominal,1.0,0.0,0.0,0.11178400137169617
mbr,history_mean,mlp_s42,obs_noise,0.3800941050341417,0.3,0.4,observed_crossing,1.0,0.0,0.2751336470134838,0.48877957373622005
mbr,history_mean,mlp_s7,obs_noise,0.48336396116368696,0.4,0.5,observed_crossing,1.0,0.0,0.39184048957563966,0.5900200566822
mbr,history_mean,ridge,obs_noise,0.2784256925107722,0.25,0.3,observed_crossing,1.0,0.0,0.20398438697947932,0.3731734823349652
mbr,drift,gru_s123,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,gru_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,gru_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,mlp_s123,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,mlp_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,mlp_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,drift,ridge,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,gru_s123,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,gru_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,gru_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,mlp_s123,obs_noise,0.0,,0.0,below_at_nominal,1.0,0.0,0.0,0.0
mbr,ar1,mlp_s42,obs_noise,,,,no_crossing_in_valid_grid,1.0,0.986,0.5890275155845337,0.9919989318827178
mbr,ar1,mlp_s7,obs_noise,,,,no_crossing_in_valid_grid,1.0,1.0,,
mbr,ar1,ridge,obs_noise,0.4523453918860692,0.4,0.5,observed_crossing,1.0,0.0,0.2902577814462078,0.6443857922581059
mbr,persistence,gru_s123,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,persistence,gru_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,persistence,gru_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,persistence,mlp_s123,process,13.689413942060526,10.0,25.0,observed_crossing,100.0,0.0,8.487921530475202,19.110878695883958
mbr,persistence,mlp_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,persistence,mlp_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,persistence,ridge,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,gru_s123,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,gru_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,gru_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,mlp_s123,process,0.0,,0.0,below_at_nominal,100.0,0.012499999999999956,0.0,66.1856167111634
mbr,history_mean,mlp_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,mlp_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,history_mean,ridge,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,gru_s123,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,gru_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,gru_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,mlp_s123,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,mlp_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,mlp_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,drift,ridge,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,gru_s123,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,gru_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,gru_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,mlp_s123,process,0.0,,0.0,below_at_nominal,100.0,0.0,0.0,0.0
mbr,ar1,mlp_s42,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,mlp_s7,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
mbr,ar1,ridge,process,,,,no_crossing_in_valid_grid,100.0,1.0,,
tep,persistence,gru_s123,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,gru_s2024,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,gru_s31337,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,gru_s42,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,gru_s7,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,mlp_s123,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,mlp_s2024,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,mlp_s31337,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,mlp_s42,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,mlp_s7,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,persistence,ridge,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,history_mean,gru_s123,actuation_idv14,1.3569583806581267,1.0,2.0,observed_crossing,8.0,0.0,1.2472368454611418,1.467806892685198
tep,history_mean,gru_s2024,actuation_idv14,1.4049634453178357,1.0,2.0,observed_crossing,8.0,0.0,1.3003451841215714,1.5140454296918224
tep,history_mean,gru_s31337,actuation_idv14,1.3343485705659046,1.0,2.0,observed_crossing,8.0,0.0,1.222955792399939,1.444105776458171
tep,history_mean,gru_s42,actuation_idv14,1.3505330357120844,1.0,2.0,observed_crossing,8.0,0.0,1.2376768478238815,1.4625828494089816
tep,history_mean,gru_s7,actuation_idv14,1.3673383037677556,1.0,2.0,observed_crossing,8.0,0.0,1.2601979094675422,1.4808211997143812
tep,history_mean,mlp_s123,actuation_idv14,2.2775304733541186,2.0,3.0,observed_crossing,8.0,0.0,1.9573584293638666,2.6302770165523954
tep,history_mean,mlp_s2024,actuation_idv14,2.1059186068733715,2.0,3.0,observed_crossing,8.0,0.0,1.9335850512313988,2.469232623228052
tep,history_mean,mlp_s31337,actuation_idv14,2.1627235349878093,2.0,3.0,observed_crossing,8.0,0.0,1.9337976828537606,2.5648691366304948
tep,history_mean,mlp_s42,actuation_idv14,2.1107668191541666,2.0,3.0,observed_crossing,8.0,0.0,1.9288819447343115,2.485765067697082
tep,history_mean,mlp_s7,actuation_idv14,1.99616670839862,1.0,2.0,observed_crossing,8.0,0.0,1.912195457767224,2.368692145011307
tep,history_mean,ridge,actuation_idv14,3.521100815485663,3.0,5.0,observed_crossing,8.0,0.0,2.8921354725206263,4.1249038102288935
tep,drift,gru_s123,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,gru_s2024,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,gru_s31337,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,gru_s42,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,gru_s7,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,mlp_s123,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,mlp_s2024,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,mlp_s31337,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,mlp_s42,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,mlp_s7,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,drift,ridge,actuation_idv14,,,,no_crossing_in_valid_grid,8.0,1.0,,
tep,ar1,gru_s123,actuation_idv14,1.0670573841872204,1.0,2.0,observed_crossing,8.0,0.0,0.984994292176583,1.1860138342524962
tep,ar1,gru_s2024,actuation_idv14,1.1353181063138758,1.0,2.0,observed_crossing,8.0,0.0,1.0089725090221164,1.2525988388383953
tep,ar1,gru_s31337,actuation_idv14,1.0356382115110405,1.0,2.0,observed_crossing,8.0,0.0,0.977210596620356,1.1576821759735423
tep,ar1,gru_s42,actuation_idv14,1.0671442993889555,1.0,2.0,observed_crossing,8.0,0.0,0.9834251584315987,1.1896897789176337
tep,ar1,gru_s7,actuation_idv14,1.0897879598943006,1.0,2.0,observed_crossing,8.0,0.0,0.9907311922716217,1.2072886821027295
tep,ar1,mlp_s123,actuation_idv14,1.939291786289918,1.0,2.0,observed_crossing,8.0,0.0,1.8300981377512175,2.2099911170431126
tep,ar1,mlp_s2024,actuation_idv14,1.8852223662758525,1.0,2.0,observed_crossing,8.0,0.0,1.7756385284101253,1.9895733567446074
tep,ar1,mlp_s31337,actuation_idv14,1.9083332662951005,1.0,2.0,observed_crossing,8.0,0.0,1.7910754959551802,2.1222530569652793
tep,ar1,mlp_s42,actuation_idv14,1.8918628703733558,1.0,2.0,observed_crossing,8.0,0.0,1.7792145747072372,1.99571671319753
tep,ar1,mlp_s7,actuation_idv14,1.8494512727108274,1.0,2.0,observed_crossing,8.0,0.0,1.7375844079218818,1.9510833860221142
tep,ar1,ridge,actuation_idv14,3.775436753321423,3.0,5.0,observed_crossing,8.0,0.0,2.873269231706096,4.943793334479333
tep,persistence,gru_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,gru_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,gru_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,gru_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,gru_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,mlp_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,mlp_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,mlp_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,mlp_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,mlp_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,ridge,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,gru_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,gru_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,gru_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,gru_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,gru_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,mlp_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,mlp_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,mlp_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,mlp_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,mlp_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,history_mean,ridge,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,gru_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,gru_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,gru_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,gru_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,gru_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,mlp_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,mlp_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,mlp_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,mlp_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,mlp_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,drift,ridge,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,gru_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,gru_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,gru_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,gru_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,gru_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,mlp_s123,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,mlp_s2024,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,mlp_s31337,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,mlp_s42,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,mlp_s7,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,ar1,ridge,actuation_idv6,,,,no_crossing_in_valid_grid,1.0,1.0,,
tep,persistence,gru_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,gru_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,gru_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,gru_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,gru_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,mlp_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,mlp_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,mlp_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,mlp_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,mlp_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,persistence,ridge,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,gru_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,gru_s2024,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,gru_s31337,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,gru_s42,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,gru_s7,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
tep,history_mean,mlp_s123,dynamics_idv13,,,,no_crossing_in_valid_grid,6.0,1.0,,
